"V1" "V2"
"1" 1 3.01
"2" 1 3
"3" 1 3.01
"4" 1 3.01
"5" 1 3.01
"6" 1 3
"7" 1 3.01
"8" 1 3.01
"9" 1 3.01
"10" 1 3.01
"11" 1 3.01
"12" 1 3.01
"13" 1 3.01
"14" 1 3.01
"15" 1 3.01
"16" 1 3.01
"17" 1 3.01
"18" 1 3.01
"19" 1 3.01
"20" 1 3.01
"21" 1 3
"22" 1 3.01
"23" 1 3.01
"24" 1 3
"25" 1 3
"26" 1 3.01
"27" 1 3.01
"28" 1 3
"29" 1 3.01
"30" 1 3.01
"31" 1 3.01
"32" 1 3.01
"33" 1 3.01
"34" 1 3.01
"35" 1 3.01
"36" 1 3.01
"37" 1 3.01
"38" 1 3
"39" 1 3
"40" 1 3.01
"41" 1 3.01
"42" 1 3.01
"43" 1 3
"44" 1 3.01
"45" 1 3.01
"46" 1 3.01
"47" 1 3.01
"48" 1 2.96
"49" 1 2.97
"50" 1 3.01
"51" 1 3
"52" 1 3.01
"53" 1 3
"54" 1 3.01
"55" 1 3.01
"56" 1 3
"57" 1 3.01
"58" 1 2.95
"59" 1 3.01
"60" 1 3
"61" 1 3.01
"62" 1 2.86
"63" 1 3
"64" 1 3
"65" 1 3.01
"66" 1 3.01
"67" 1 3.01
"68" 1 3
"69" 1 3
"70" 1 2.89
"71" 1 2.91
"72" 1 3
"73" 1 3.01
"74" 1 2.99
"75" 1 3
"76" 1 3.01
"77" 1 2.96
"78" 1 3
"79" 1 2.99
"80" 1 3
"81" 1 3.01
"82" 1 3.01
"83" 1 3
"84" 1 3.01
"85" 1 2.96
"86" 1 3.01
"87" 1 3.01
"88" 1 3.01
"89" 1 3
"90" 1 3.01
"91" 1 3.01
"92" 1 3
"93" 1 3.01
"94" 1 3.01
"95" 1 3.01
"96" 1 3.01
"97" 1 3.01
"98" 1 3
"99" 1 3
"100" 1 3.01
"101" 1 3.01
"102" 1 3.01
"103" 1 3.01
"104" 1 3
"105" 1 3.01
"106" 1 3.01
"107" 1 3.01
"108" 1 3.01
"109" 1 3
